	Entry	Gene Names	Involvement in disease	Organism
10	Q13093	PLA2G7 PAFAH	DISEASE: Platelet-activating factor acetylhydrolase deficiency (PAFAD) [MIM:614278]: An enzymatic deficiency that results in exacerbated bodily response to inflammatory agents. It can be associated with several disease states including inflammatory gastrointestinal disorders, asthma and atopy. Asthmatic individuals with PAFAD may manifest aggravated respiratory symptoms. {ECO:0000269|PubMed:8675689, ECO:0000269|PubMed:9245731, ECO:0000269|PubMed:9412624, ECO:0000269|PubMed:9472966, ECO:0000269|PubMed:9759612}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
11	P23458	JAK1 JAK1A JAK1B	DISEASE: Autoinflammation, immune dysregulation, and eosinophilia (AIIDE) [MIM:618999]: An autosomal dominant disorder characterized by immune dysregulation, severe atopic dermatitis, and chronic gastrointestinal inflammation. Additional features include asthma, food or environmental allergies, as well as poor overall growth with short stature. {ECO:0000269|PubMed:28111307, ECO:0000269|PubMed:32750333}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
12	P42226	STAT6	DISEASE: Hyper-IgE syndrome 6, autosomal dominant, with recurrent infections (HIES6) [MIM:620532]: An immunologic disorder characterized by severe allergic disease with onset in infancy. Common features are treatment-resistant atopic dermatitis, food allergies, asthma, eosinophilic gastrointestinal disease, and severe episodes of anaphylaxis. Half of the patients present with recurrent skin, respiratory, and viral infections. Clinical laboratory testing is notable for eosinophilia and markedly elevated serum IgE levels. {ECO:0000269|PubMed:36758835, ECO:0000269|PubMed:36884218, ECO:0000269|PubMed:37316763}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
13	P15169	CPN1 ACBP	DISEASE: Carboxypeptidase N deficiency (CPND) [MIM:212070]: An autosomal recessive disorder characterized by angioedema, acute or chronic urticaria, and hay fever or asthma. Affected individuals have levels of carboxypeptidase N below the reference range. {ECO:0000269|PubMed:12560874}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
14	P08887	IL6R	DISEASE: Hyper-IgE syndrome 5, autosomal recessive, with recurrent infections (HIES5) [MIM:618944]: An immunologic disorder characterized by recurrent sinopulmonary and deep skin infections, mostly caused by bacteria, including H.influenza and S.aureus. Additional features include asthma, atopic dermatitis, and impaired inflammatory responses during infection. Disease onset is in early infancy. {ECO:0000269|PubMed:31235509}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
15	Q9H1P3	OSBPL2 KIAA0772 ORP2	DISEASE: Deafness, autosomal dominant, 67 (DFNA67) [MIM:616340]: A form of non-syndromic sensorineural hearing loss. Sensorineural deafness results from damage to the neural receptors of the inner ear, the nerve pathways to the brain, or the area of the brain that receives sound information. {ECO:0000269|PubMed:25077649, ECO:0000269|PubMed:25759012, ECO:0000269|PubMed:30894143}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Dyschromatosis, ichthyosis, deafness, and atopic disease (DIDA) [MIM:621400]: An autosomal recessive disease characterized by generalized hyperpigmentation with hypopigmentation spots, ichthyosis, sensorineural hearing loss, atopic dermatitis, asthma, and allergic rhinitis. {ECO:0000269|PubMed:38701954}. Note=The disease may be caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
16	Q96N23	CFAP54 C12orf55 C12orf63	DISEASE: Spermatogenic failure 98 (SPGF98) [MIM:621124]: An autosomal recessive, male infertility disorder characterized by abnormal sperm morphology, and reduced sperm concentration and motility. {ECO:0000269|PubMed:36593121}. Note=The disease may be caused by variants affecting the gene represented in this entry.; DISEASE: Ciliary dyskinesia, primary, 54 (CILD54) [MIM:621125]: An autosomal recessive form of primary ciliary dyskinesia, a disorder characterized by abnormalities of motile cilia. Respiratory infections leading to chronic inflammation and bronchiectasis are recurrent, due to defects in the respiratory cilia. CILD54 affected individuals suffer from rhinitis, sinusitis, asthma, in addition to bronchiectasis. {ECO:0000269|PubMed:37725231}. Note=The disease may be caused by variants affecting distinct genetic loci, including the gene represented in this entry.	Homo sapiens (Human)
17	P20930	FLG	DISEASE: Ichthyosis vulgaris (VI) [MIM:146700]: The most common form of ichthyosis inherited as an autosomal dominant trait. It is characterized by palmar hyperlinearity, keratosis pilaris and a fine scale that is most prominent over the lower abdomen, arms, and legs. Ichthyosis vulgaris is characterized histologically by absent or reduced keratohyalin granules in the epidermis and mild hyperkeratosis. The disease can be associated with frequent asthma, eczema or hay fever. {ECO:0000269|PubMed:16444271}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Dermatitis atopic 2 (ATOD2) [MIM:605803]: Atopic dermatitis is a complex, inflammatory disease with multiple alleles at several loci thought to be involved in the pathogenesis. It commonly begins in infancy or early childhood and is characterized by a chronic relapsing form of skin inflammation, a disturbance of epidermal barrier function that culminates in dry skin, and IgE-mediated sensitization to food and environmental allergens. It is manifested by lichenification, excoriation, and crusting, mainly on the flexural surfaces of the elbow and knee. {ECO:0000269|PubMed:16550169, ECO:0000269|PubMed:16815158, ECO:0000269|PubMed:17030239, ECO:0000269|PubMed:17291859}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
18	Q9C0K0	BCL11B CTIP2 RIT1	DISEASE: Immunodeficiency 49, severe combined (IMD49) [MIM:617237]: A form of severe combined immunodeficiency characterized by severe T-cell lymphopenia, no detectable T-cell receptor excision circles, no naive helper CD4+ T-cells, and impaired T-cell proliferative response. In addition to primary immunodeficiency, affected individuals manifest multiple abnormal systemic features, including severe delayed psychomotor development, intellectual disability, spastic quadriplegia, and craniofacial abnormalities. {ECO:0000269|PubMed:27959755, ECO:0000269|PubMed:29985992}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Intellectual developmental disorder with speech delay, dysmorphic facies, and T-cell abnormalities (IDDSFTA) [MIM:618092]: An autosomal dominant developmental disorder with onset in first months of life, and characterized by delayed psychomotor development with intellectual disability and speech delay. Additional features include autistic features, attention deficit-hyperactivity disorder, anxiety, and other behavioral abnormalities. Some patients suffer from recurrent infections, asthma and allergies. {ECO:0000269|PubMed:29985992}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
19	P51692	STAT5B	DISEASE: Growth hormone insensitivity syndrome with immune dysregulation 1, autosomal recessive (GHISID1) [MIM:245590]: An autosomal recessive form of growth hormone insensitivity syndrome, a congenital disease characterized by short stature, growth hormone deficiency in the presence of normal to elevated circulating concentrations of growth hormone, resistance to exogenous growth hormone therapy, and recurrent infections. Most, but not all, patients have features of immune dysregulation. {ECO:0000269|PubMed:13679528, ECO:0000269|PubMed:15827093, ECO:0000269|PubMed:22419735}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Growth hormone insensitivity syndrome with immune dysregulation 2, autosomal dominant (GHISID2) [MIM:618985]: An autosomal dominant form of growth hormone insensitivity syndrome, a congenital disease characterized by short stature, growth hormone deficiency in the presence of normal to elevated circulating concentrations of growth hormone, resistance to exogenous growth hormone therapy, and recurrent infections. GHISID2 patients usually have delayed bone age, delayed puberty, and decreased serum IGF1. Some patients may have features of mild immune dysregulation, such as eczema, increased serum IgE, asthma, or celiac disease. {ECO:0000269|PubMed:29844444}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
